HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P
0.68,0.055854,0.28891500000000003,0.107819,0.059242,1602.0,1658.5,724.0,1283.0,0.015642
0.477,0.023511,0.394038,0.148554,0.08365,1560.5,1643.5,495.0,1526.0,0.013818
0.43,0.028233,0.414542,0.092505,0.032683,1542.7,1638.7,889.0,1741.0,0.009619
0.15,0.10116,0.541851,0.137596,0.080287,1552.6,1640.2,561.0,1528.0,0.022134
0.199,0.018155,0.26129,0.061128,0.092253,1532.4,1668.3,1346.0,2088.0,0.000554
0.5579999999999999,0.091451,0.47819,0.189153,0.096355,1585.1,1647.9,401.0,1316.0,0.016507
0.297,0.022909,0.303586,0.111058,0.0484,1564.3,1666.7,869.0,1663.0,0.013527
0.452,0.097205,0.56713,0.15956199999999998,0.093151,1573.3,1647.5,466.0,1581.0,0.01916
0.29600000000000004,0.03646,0.156103,0.160599,0.07989,1666.6,1648.3,620.0,680.0,0.016225
0.412,0.101628,0.34329,0.184663,0.077872,1602.9,1659.8,1123.0,1285.0,0.025159
0.309,0.042529,0.453042,0.091008,0.056939,1557.4,1657.1,973.0,1707.0,0.020363
0.634,0.088923,0.567906,0.141086,0.089473,1566.1,1661.1,493.0,1684.0,0.015705
0.63,0.027154,0.376569,0.135041,0.07207999999999999,1563.5,1671.4,667.0,1505.0,0.01403
0.635,0.048667,0.307532,0.184058,0.055378,1629.9,1624.2,438.0,1535.0,0.0079
0.479,0.047853,0.33302600000000004,0.12131,0.049344,1580.1,1665.6,687.0,1460.0,0.015001
0.529,0.028585000000000006,0.289237,0.064457,0.040303,1556.3,1640.5,889.0,1693.0,0.012708
0.615,0.046015,0.265952,0.08972999999999999,0.07169099999999999,1609.2,1658.0,516.0,1244.0,0.015972
0.429,0.059836,0.181721,0.16302,0.058599,1669.9,1658.5,1118.0,850.0,0.016
0.542,0.02482,0.19726,0.16514700000000002,0.06359,1576.3,1671.5,794.0,1495.0,0.013917
0.457,0.016905,0.608117,0.140992,0.07089,1512.2,1631.2,597.0,2312.0,0.010207
0.247,0.022692,0.130604,0.17890599999999998,0.115041,1610.9,1670.4,590.0,1000.0,0.017988999999999998
0.416,0.095468,0.551313,0.082072,0.04388,1594.3,1675.7,834.0,1795.0,0.020629
0.349,0.125659,0.432318,0.06953,0.027833,1558.4,1636.1,866.0,1660.0,0.025736
0.386,0.028892,0.423947,0.123134,0.065344,1543.8,1684.0,952.0,2066.0,0.019516
0.392,0.10686,0.99256,0.251119,0.123462,1557.8,1668.2,563.0,2530.0,0.023857
0.633,0.099943,0.669045,0.083978,0.040851,1555.6,1629.1,1008.0,2002.0,0.020708
0.341,0.059401,0.53691,0.09847,0.05601,1542.1,1599.6,527.0,1961.0,0.011875
0.35,0.047722,0.2844,0.173998,0.081092,1622.7,1682.1,670.0,1184.0,0.016898
0.5539999999999999,0.021275,0.281327,0.100537,0.065924,1588.5,1660.2,617.0,1277.0,0.012828
0.708,0.065706,0.53633,0.184713,0.107188,1570.2,1668.8,506.0,1691.0,0.018065
0.42,0.026779,0.434362,0.111387,0.201988,1654.5,1679.3,1030.0,1673.0,0.0002
0.5329999999999999,0.029482,0.252027,0.208037,0.103974,1600.9,1664.8,588.0,1171.0,0.015299
0.831,0.011744,0.02091,0.072729,0.072729,1566.5,1641.3,688.0,1365.0,0.011744
0.479,0.022584,0.274333,0.092438,0.04959,1559.3,1686.2,881.0,1777.0,0.012672
1.383,0.053705,0.380842,0.113345,0.050733,1586.8,1655.3,639.0,1423.0,0.011917
0.42,0.033407,0.315128,0.119223,0.055594000000000005,1627.6,1669.3,756.0,1261.0,0.012371
