HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P,,MB_Predictions,JSW_Predictions
0.562,0.066585,0.412315,0.209867,0.129096,1606.6,1660.4,424,1173,0.021165,,0.019692279,
0.548,0.042551,0.37392,0.111545,0.070507,1650.5,1701,603,1119,0.020212,,0.017520114,
0.321,0.037695,0.267617,0.200203,0.200203,1594.8,1654.1,622,1002,0.037695,,0.048884449,
0.502,0.107038,0.080678,0.059663,0.034421,1689.1,1662.5,631,340,0.029381,,0.020610198,
0.354,0.055971,0.248813,0.144612,0.080312,1634.6,1668.8,742,1037,0.020142,,0.020257919,
0.507,0.063665,0.303064,0.058773,0.036006,1605.9,1650.8,454,1081,0.010886,,0.012729226,
0.346,0.093023,0.698499,0.152336,0.109467,1575.4,1655.3,691,1493,0.022913,,0.02668134,
0.443,0.049364,0.227579,0.137522,0.137522,1641.8,1653,554,793,0.049364,,0.034748298,
0.319,0.087267,0.065634,0.09425,0.04425,1632.1,1577,355,1007,0.005432,,0.014359175,
0.373,0.020083,0.212246,0.157327,0.079277,1591.6,1655.8,687,1052,0.015137,,0.014134572,
0.283,0.070225,0.478213,0.178524,0.095713,1603.5,1678.5,998,1690,0.028563,,0.025312559,
0.294,0.056938,0.482062,0.203061,0.074404,1551.9,1631.7,652,1624,0.014683,,0.013194929,
0.397,0.078443,0.754529,0.06518,0.06518,1502.7,1645,1078,2271,0.078443,,0.052275577,
0.283,0.035272,0.119955,0.140695,0.072858,1629.3,1646.4,500,864,0.015026,,0.014044844,
0.502,0.026356,0.302915,0.067405,0.034286,1589.3,1660.3,1025,1467,0.015335,,0.013937595,
0.549,0.046517,0.182866,0.13719,0.082485,1625.2,1678.7,760,840,0.021215,,0.01989394,
1.062,0.109395,0.443383,0.186963,0.063948,1649.1,1654.2,770,1660,0.01875,,0.014840542,
0.834,0.044868,0.437123,0.09481,0.058161,1635.1,1661.7,464,1036,0.013097,,0.014467598,
0.296,0.036759,0.309185,0.178697,0.073617,1585.3,1645.7,726,1363,0.017031,,0.015223066,
0.465,0.041565,0.222331,0.168253,0.089388,1634.6,1656.3,511,977,0.009946,,0.01730996,
0.54,0.046423,0.290748,0.114055,0.079919,1579,1667.8,680,1608,0.019425,,0.018430626,
0.696,0.04538,0.349733,0.147447,0.046089,1532.3,1654.9,944,1917,0.013392,,0.013738481,
0.368,0.050078,0.407118,0.192411,0.091769,1596,1652.4,478,1405,0.014691,,0.0147515,
0.596,0.057995,0.720811,0.139776,0.099537,1544.8,1653.6,358,1978,0.01548,,0.015542185,
0.436,0.036349,0.912732,0.076893,0.050947,1516.5,1658,469,2153,0.010665,,0.011841739,
0.426,0.054918,0.827004,0.107298,0.073441,1528.1,1631.6,526,2222,0.02025,,0.013602515,
0.605,0.025424,0.258641,0.090401,0.034994,1525.5,1654.3,954,1875,0.011051,,0.011781814,
0.747,0.066388,0.375706,0.181149,0.08282,1588.2,1666.8,861,1506,0.020162,,0.021231725,
0.442,0.047368,0.442899,0.119374,0.078487,1563.2,1644.6,578,1533,0.016105,,0.015167789,
0.324,0.021416,0.468615,0.220729,0.085695,1544.1,1655.3,600,1947,0.01378,,0.013117517,
0.311,0.05133,0.061619,0.116177,0.067814,1639.9,1659.3,738,563,0.020422,,0.018958062,
0.506,0.039583,0.116095,0.114613,0.071512,1586.9,1660.7,769,1146,0.013519,,0.019500946,
0.476,0.066187,0.435525,0.116636,0.071935,1570.4,1669.4,727,1634,0.021256,,0.01904363,
0.213,0.033649,0.32083,0.201284,0.08525,1549.7,1654.4,870,1581,0.01979,,0.017144325,
0.428,0.063948,0.847637,0.137365,0.137365,1547.5,1648.5,560,2286,0.063948,,0.033364709,
0.354,0.036735,0.950846,0.146735,0.088953,1542.8,1650.1,443,2150,0.014931,,0.013466093,
0.423,0.040319,0.486523,0.228878,0.119873,1598,1656.8,443,1680,0.017211,,0.01628436,
0.61,0.078895,0.712948,0.137742,0.08431,1544.7,1648.4,562,1976,0.017993,,0.016497719,
0.636,0.075271,0.688589,0.099704,0.065177,1548.9,1671.9,833,1985,0.024477,,0.021970717,
0.472,0.045068,0.635563,0.133655,0.07112,1544.2,1622.1,421,1992,0.008909,,0.011191598,
0.64,0.083572,0.376042,0.225498,0.111809,1631.4,1633.9,405,840,0.016644,,0.017192012,
0.76,0.054145,0.312825,0.12391,0.069253,1558.3,1650.4,755,1218,0.019062,,0.016711129,
0.512,0.012922,0.176777,0.075638,0.042206,1605.1,1663.6,676,1166,0.010134,,0.011184004,
0.391,0.073665,0.47936,0.069674,0.022864,1570,1650.2,862,2834,0.009696,,0.013071364,
0.452,0.129387,0.170321,0.071002,0.047469,1605,1635,544,877,0.011284,,0.021465519,
0.355,0.062081,0.445049,0.109922,0.067068,1555.8,1650.9,505,1585,0.009354,,0.015392889,
0.731,0.056008,0.058744,0.150803,0.12257,1665.2,1655.6,572,253,0.020398,,0.030972057,
0.376,0.047137,0.312017,0.114354,0.049764,1593.5,1673.2,550,1639,0.012699,,0.013722599,
0.65,0.064108,0.146483,0.046734,0.024533,1598,1659.6,655,1159,0.013551,,0.01419079,
0.474,0.054583,0.40711,0.133867,0.081606,1597.7,1670.7,688,1360,0.01752,,0.018374281,
0.337,0.04793,0.448903,0.214827,0.128812,1590.4,1653.8,424,1389,0.023682,,0.018198623,
0.309,0.019739,0.239698,0.114445,0.056763,1565.4,1648.9,714,1622,0.013997,,0.012757545,
0.666,0.067139,0.445463,0.137672,0.05205,1613.1,1621.6,424,1406,0.008264,,0.008704882,
0.663,0.034238,0.218533,0.038,0.029502,1566.7,1635.1,710,1233,0.011918,,0.011809498,
0.342,0.064332,0.351921,0.20499,0.108874,1612,1669.1,489,1176,0.023217,,0.019568889,
0.475,0.04996,0.206509,0.142536,0.073169,1613.1,1660.1,734,1286,0.015317,,0.017385545,
0.639,0.030949,0.277123,0.085513,0.056982,1609.2,1664.7,652,1039,0.012335,,0.01527194,
0.337,0.108061,0.463478,0.189393,0.074173,1597.9,1658.6,1047,1692,0.022552,,0.025582254,
0.746,0.015664,0.328658,0.17576,0.078402,1571.8,1636,479,1379,0.001779,,0.010152341,
0.438,0.092242,0.449376,0.127245,0.058639,1602.6,1675.1,502,1638,0.012505,,0.019161625,
0.439,0.095414,0.606704,0.131396,0.080714,1596.5,1679.2,638,1575,0.023421,,0.02227854,
0.162,0.021439,0.051443,0.101678,0.075564,1625.2,1638,647,458,0.017529,,0.018492324,
0.233,0.107998,0.427947,0.096537,0.039083,1573.8,1643.3,741,1404,0.017312,,0.014677498,
0.952,0.070727,0.883629,0.153517,0.153517,1691.3,1665,594,1941,0.070727,,0.046587916,
0.277,0.017528,0.02886,0.084293,0.084293,1543.8,1653.1,603,1996,0.017528,,0.015359931,
1.132,0.05395,0.375598,0.115975,0.067875,1579.3,1661.8,553,1603,0.0149,,0.014435042,
0.767,0.074457,0.463921,0.135459,0.100805,1592.7,1661.6,394,1437,0.019649,,0.018713853,
0.5,0.063562,0.657051,0.123103,0.085503,1551.8,1650,390,1931,0.014544,,0.016905001,
0.556,0.038093,0.288217,0.108918,0.063177,1568.9,1660.1,811,1566,0.014579,,0.016265504,
0.234,0.046141,0.641976,0.056732,0.034625,1526,1617.6,458,2370,0.144,,0.010550388,
0.51,0.100663,0.265602,0.211428,0.103823,1620.4,1671.2,611,1173,0.022438,,0.022333242,
0.524,0.042811,0.25699,0.106039,0.072431,1598.4,1666.8,904,890,0.024437,,0.020743336,
0.547,0.053715,0.599371,0.131827,0.050091,1533.6,1665.1,654,2304,0.012308,,0.011051471,
0.592,0.007023,0.166669,0.075587,0.035724,1572.9,1638.4,549,1324,0.007398,,0.006985354,
0.416,0.100134,0.646851,0.149473,0.082623,1590.1,1691.7,1040,1794,0.030174,,0.029014408,
0.509,0.05218,0.667567,0.066109,0.04269,1540.9,1668,1109,2065,0.01871,,0.020532492,
0.397,0.029745,0.27084,0.145106,0.072098,1596.4,1649.1,892,1300,0.014783,,0.016059946,
0.644,0.029061,0.465826,0.097725,0.097725,1542.7,1661.9,834,737,0.029061,,0.031605577,
0.369,0.040919,0.08062,0.194135,0.114671,1589.5,1654.8,711,1008,0.021087,,0.023417708,
0.335,0.0121,0.119043,0.088391,0.048293,1590.7,1632.9,688,1031,0.010895,,0.010360871,
0.325,0.018133,0.234837,0.068608,0.032608,1589.5,1658,877,1433,0.012304,,0.012684343,
0.453,0.042664,0.456359,0.078155,0.036786,1614.6,1665.8,692,2038,0.011687,,0.011281186,
0.332,0.023566,0.048563,0.047843,0.035566,1684.1,1669.7,819,352,0.01638,,0.015606455,
0.092,0.076454,0.272463,0.189477,0.071789,1576,1660.8,590,1483,0.018082,,0.016317614,
0.387,0.048134,0.318913,0.153694,0.086931,1648.3,1679.1,763,1071,0.021079,,0.021172224,
0.455,0.099089,0.244844,0.284986,0.10671,1644.7,1678.5,894,1067,0.027376,,0.025958068,
0.334,0.015149,0.196945,0.106336,0.044122,1570.9,1649.2,827,1396,0.012774,,0.011893254,
0.199,0.012171,0.086736,0.115869,0.08059,1613.8,1667.1,535,1012,0.144,,0.013542834,
0.308,0.009565,0.040225,0.060894,0.056549,1582.7,1645.7,946,874,0.015929,,0.012416901,
0.412,0.010174,0.145426,0.102187,0.056897,1578,1656,763,1457,0.011814,,0.012719451,
0.232,0.01151,0.073287,0.082607,0.050222,1618,1651.5,757,729,0.014501,,0.012037155,
0.784,0.043185,0.206505,0.1879,0.078154,1630.3,1656.8,687,910,0.01451,,0.016735773,
0.386,0.103537,0.133201,0.078155,0.032097,1586.6,1681.2,1161,1559,0.02161,,0.020032282,
0.642,0.023653,0.17287,0.168944,0.071874,1593.1,1665.5,599,1307,0.012023,,0.012930692,
0.36,0.09355,0.793842,0.214198,0.12055,1575.9,1676.6,518,1961,0.02244,,0.022114985,
0.435,0.118045,0.450152,0.212071,0.118774,1615.4,1674.3,643,1383,0.026211,,0.026883853,
0.391,0.068304,0.472521,0.13242,0.088779,1580.1,1664.5,510,1670,0.017661,,0.019204201,
